rank,url,no_prewarm_s,prewarm_s,delta_prewarm_minus_no_prewarm_s,prewarm_faster
0,://aa,3.799763185,1.236981734,-2.562781451,true
1,://ab,1.395094474,1.344533836,-0.050560638,true
2,://ht,1.465728100,1.523563313,0.057835213,false
3,://ad,1.323292075,1.480690685,0.157398610,false
4,://ae,1.392841395,1.435779039,0.042937644,false
5,://af,1.335121793,1.353331471,0.018209678,false
6,://ag,1.434089900,1.342973584,-0.091116316,true
7,://ah,1.409583813,1.370565362,-0.039018451,true
8,://ai,1.398206666,1.385245265,-0.012961401,true
9,://aj,1.367254214,1.329180707,-0.038073507,true
10,://ak,1.373746785,1.454683227,0.080936442,false
11,://al,1.504902801,1.332370871,-0.172531930,true
12,://am,1.407240243,1.400618793,-0.006621450,true
13,://an,1.444962691,1.577363912,0.132401221,false
14,://ao,1.378124640,1.489614093,0.111489453,false
15,://ap,1.471142372,1.514521003,0.043378631,false
16,://aq,1.449485561,1.438823118,-0.010662443,true
17,://ar,1.350231686,1.509111028,0.158879342,false
18,://as,1.522486095,1.434177446,-0.088308649,true
19,://at,1.492775355,1.576587199,0.083811844,false
20,://au,1.455882114,1.759968823,0.304086709,false
21,://av,1.493388489,1.364057752,-0.129330737,true
22,://aw,1.582831235,1.403116129,-0.179715106,true
23,://ax,1.463395282,1.404568941,-0.058826341,true
24,://ay,1.432533239,1.500927969,0.068394730,false
25,://az,1.549202319,1.402814824,-0.146387495,true
26,://ba,1.342635292,1.588409240,0.245773948,false
27,://bb,1.400069448,1.526130070,0.126060622,false
28,://bc,1.313470101,1.390650472,0.077180371,false
29,://bd,1.363557588,1.490051675,0.126494087,false
30,://be,1.407884092,1.447975096,0.040091004,false
31,://bf,1.552314617,1.470974050,-0.081340567,true
32,://bg,1.380584272,1.348661662,-0.031922610,true
33,://bh,1.368661010,1.489005970,0.120344960,false
34,://bi,1.519185161,1.557277371,0.038092210,false
35,://bj,1.352674181,1.514293513,0.161619332,false
36,://bk,1.327722298,1.350911889,0.023189591,false
37,://bl,1.333687299,1.702541079,0.368853780,false
38,://bm,1.392036032,1.617694302,0.225658270,false
39,://bn,1.318701836,1.391573639,0.072871803,false
40,://bo,1.356583308,1.336295572,-0.020287736,true
41,://bp,1.576389133,1.408086924,-0.168302209,true
42,://bq,1.440491327,1.374389029,-0.066102298,true
43,://br,1.556364290,1.358443039,-0.197921251,true
44,://bs,1.393759733,1.382495482,-0.011264251,true
45,://bt,1.310589554,1.459006890,0.148417336,false
46,://bu,1.469074113,1.403838618,-0.065235495,true
47,://bv,1.477446868,1.459343067,-0.018103801,true
48,://bw,1.472009286,1.420042924,-0.051966362,true
49,://bx,1.495326720,1.499799227,0.004472507,false
50,://by,1.347510566,1.337638306,-0.009872260,true
51,://bz,1.349279744,1.350967913,0.001688169,false
52,://ca,1.350492013,1.362441433,0.011949420,false
53,://cb,1.378084089,1.416130926,0.038046837,false
54,://cc,1.525509124,1.400958266,-0.124550858,true
55,://cd,1.473082776,1.536197885,0.063115109,false
56,://ce,1.394358541,1.526285189,0.131926648,false
57,://cf,1.388350759,1.434261019,0.045910260,false
58,://cg,1.406598189,1.445320064,0.038721875,false
59,://ch,1.425705073,1.341057128,-0.084647945,true
60,://ci,1.673939956,1.464485989,-0.209453967,true
61,://cj,1.386277592,1.371228112,-0.015049480,true
62,://ck,1.377463902,1.344891809,-0.032572093,true
63,://cl,1.396849605,1.561377860,0.164528255,false
64,://cm,1.352209307,1.354346607,0.002137300,false
65,://cn,1.401492458,1.384423381,-0.017069077,true
66,://co,1.502602547,1.594916220,0.092313673,false
67,://cp,1.397168101,1.431235658,0.034067557,false
68,://cq,1.455943567,1.382276290,-0.073667277,true
69,://cr,1.340103921,1.408879048,0.068775127,false
70,://cs,1.316526738,1.396988843,0.080462105,false
71,://ct,1.402893917,1.464576545,0.061682628,false
72,://cu,1.399772521,1.341741868,-0.058030653,true
73,://cv,1.363247441,1.512799711,0.149552270,false
74,://cw,1.433271536,1.352287628,-0.080983908,true
75,://cx,1.349727508,1.397038189,0.047310681,false
76,://cy,1.440924383,1.477084367,0.036159984,false
77,://cz,1.497231938,1.510021335,0.012789397,false
78,://da,1.552146220,1.395371564,-0.156774656,true
79,://db,1.350594519,1.449953336,0.099358817,false
80,://dc,1.333425714,1.428425091,0.094999377,false
81,://dd,1.456395048,1.377234157,-0.079160891,true
82,://de,1.340524289,1.451178583,0.110654294,false
83,://df,1.340330921,1.377008989,0.036678068,false
84,://dg,1.488330207,1.373749441,-0.114580766,true
85,://dh,1.514319335,1.484173061,-0.030146274,true
86,://di,1.402256817,1.485174770,0.082917953,false
87,://dj,1.475418554,1.497694355,0.022275801,false
88,://dk,1.347166938,1.377300125,0.030133187,false
89,://hu,1.378050793,1.555797877,0.177747084,false
90,://dm,1.396707409,1.364689892,-0.032017517,true
91,://dn,1.408733054,1.355160223,-0.053572831,true
92,://hv,1.431373685,1.432225545,0.000851860,false
93,://dp,1.327632801,1.338790155,0.011157354,false
94,://dq,1.336356304,1.417194999,0.080838695,false
95,://dr,1.450948991,1.502323835,0.051374844,false
96,://ds,1.366458911,1.454413910,0.087954999,false
97,://dt,1.392274284,1.335714720,-0.056559564,true
98,://du,1.393959857,1.521658789,0.127698932,false
99,://dv,1.358607649,1.548814234,0.190206585,false
100,://dw,1.376565353,1.343076760,-0.033488593,true
101,://dx,1.368389224,1.420116550,0.051727326,false
102,://dy,1.388839519,1.457748190,0.068908671,false
103,://dz,1.424033945,1.361108533,-0.062925412,true
104,://ea,1.484630409,1.414120046,-0.070510363,true
105,://eb,1.453378907,1.419267488,-0.034111419,true
106,://ec,1.360149401,1.482315457,0.122166056,false
107,://ed,1.423608555,1.399236219,-0.024372336,true
108,://ee,1.390243971,1.506475175,0.116231204,false
109,://ef,1.409886294,1.511821335,0.101935041,false
110,://eg,1.335409503,1.362763173,0.027353670,false
111,://eh,1.326158663,1.444549361,0.118390698,false
112,://ei,1.349352001,1.452907374,0.103555373,false
113,://ej,1.470891938,1.442394784,-0.028497154,true
114,://ek,1.362819533,1.367233669,0.004414136,false
115,://el,1.398936900,1.555685748,0.156748848,false
116,://em,1.393339054,1.441699826,0.048360772,false
117,://en,1.387622600,1.404347254,0.016724654,false
118,://eo,1.366919875,1.494131790,0.127211915,false
119,://ep,1.383311834,1.367179603,-0.016132231,true
120,://eq,1.484377751,1.422176553,-0.062201198,true
